Drivers,Season 2016,Season 2017,Season 2018,Season 2019,Season 2021
albon,0.0,0.0,0.0,0.0,0.0
alonso,0.0,41.560038027773906,0.2461163672837448,0.0,41.81369571657528
bottas,35.97649985445439,96.39722441869056,0.0,106.43852012094874,51.06399473676603
gasly,0.0,0.0,-26.173521212708913,0.0,62.68537726663475
hamilton,39.87898489183041,116.79527145434366,28.653624768987,105.38200790008761,59.98579808262741
kevin_magnussen,0.0,62.59516302452449,-24.020386383573097,0.0,0.0
latifi,0.0,0.0,0.0,0.0,46.1941914963007
leclerc,0.0,0.0,1.8155321915235216,43.796731201341466,60.497956004380896
max_verstappen,29.190918914806776,0.0,0.0,90.8236545964955,0.0
mick_schumacher,0.0,0.0,0.0,0.0,15.179167698950303
norris,0.0,0.0,0.0,17.113435822610537,55.040461949452045
ocon,0.0,69.38046113371217,0.0,0.0,0.0
perez,68.33785794264348,0.0,12.165272913758907,36.06223110179974,74.3530712388053
ricciardo,29.579450730919376,99.5961042623934,0.0,0.0,47.50512206898367
russell,0.0,0.0,0.0,0.0,0.0
sainz,0.0,49.61696504564284,6.723135225282259,29.057463037099797,48.652689659449905
stroll,0.0,106.61081273194046,-1.3204150868525715,11.418629101667511,0.0
tsunoda,0.0,0.0,0.0,0.0,56.48391609772932
vettel,76.03488270593694,114.61012784940694,26.890204746930845,95.76771618100676,62.097497681622635
zhou,0.0,0.0,0.0,0.0,0.0
