Drivers,Season 2012,Season 2013,Season 2014,Season 2015,Season 2016,Season 2017,Season 2018,Season 2019,Season 2021
albon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.823774531277543,0.0
alonso,82.6403148371113,73.00478752773392,114.50200016675937,0.0,63.46661680828552,0.0,0.0,0.0,0.0
bottas,0.0,52.74375252303555,0.0,7.420307959249675,0.0,44.030547647852416,50.50238865658352,98.45021143219584,0.0
gasly,0.0,0.0,0.0,0.0,0.0,0.0,44.144526693073786,81.13180969252039,64.8870694257894
hamilton,79.44498145363212,96.48548691698187,148.19768856837706,82.85131397075364,159.5199346120489,27.960391549567596,52.76889230454797,100.6409057797118,48.23292770222076
kevin_magnussen,0.0,0.0,0.0,0.0,0.0,17.60728382998028,-18.331267820951684,0.0,0.0
latifi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leclerc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_verstappen,0.0,0.0,0.0,0.0,0.0,44.31938548531973,44.666532259942954,99.12671847385548,134.74229320927867
mick_schumacher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
norris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.72739442181543,109.81865821761049
ocon,0.0,0.0,0.0,0.0,0.0,6.7599887745242135,45.12560255515702,0.0,0.0
perez,0.0,0.0,0.0,54.642004149041945,147.5495680049963,-1.0796382384959142,-13.259969512528418,0.0,109.2981911460509
ricciardo,0.0,0.0,143.16193811149404,59.60907525886322,151.90622862797792,52.74734784297402,74.29541792190402,16.387584884551735,0.0
russell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sainz,0.0,0.0,0.0,26.29402166520982,0.0,32.049722971508565,-12.859027171559909,22.116413676239898,123.6576887026072
stroll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tsunoda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vettel,82.70152762495195,102.00482375837792,0.0,75.87030215989552,144.83959012375658,64.18748144848158,65.89124135084016,96.17899896826634,66.71316538825037
zhou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
