Drivers,Season 2014,Season 2015,Season 2016,Season 2017,Season 2018,Season 2019,Season 2020,Season 2021
albon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alonso,96.61087254588634,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bottas,109.93198776968576,57.42071590578802,0.0,128.34109436371767,0.0,101.39131981678958,76.644276957271,95.21922505606017
gasly,0.0,0.0,0.0,0.0,0.0,0.0,14.480124804444701,0.0
hamilton,119.00088499718676,125.15110060691516,105.82809923276129,117.86642682140835,0.0,99.23731316177482,70.9269203220023,113.74076940048799
kevin_magnussen,78.81288484300174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
latifi,0.0,0.0,0.0,0.0,0.0,0.0,-15.365602014027408,0.0
leclerc,0.0,0.0,0.0,0.0,0.0,125.03398688928405,45.434395274356845,0.0
max_verstappen,0.0,0.0,94.05868413311377,0.0,143.93423097734188,129.3948961672214,0.0,162.02623678806674
mick_schumacher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
norris,0.0,0.0,0.0,0.0,0.0,0.0,45.52538322652289,0.0
ocon,0.0,0.0,0.0,0.0,0.0,0.0,6.560467204132529,0.0
perez,84.14425696838984,0.0,0.0,0.0,0.0,0.0,41.13123453494707,97.32850193169837
ricciardo,63.577622137320986,0.0,59.131591030956656,119.82056788323992,0.0,0.0,0.0,0.0
russell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sainz,0.0,0.0,21.668785194916524,0.0,0.0,0.0,36.76797484837412,0.0
stroll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tsunoda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vettel,0.0,108.6648173612111,0.0,127.35439788378824,141.3059945018267,105.11259738057316,3.5438754464933675,0.0
zhou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
