Drivers,Season 2015,Season 2016,Season 2017,Season 2018,Season 2019,Season 2021
albon,0.0,0.0,0.0,0.0,106.15124063488719,0.0
alonso,0.0,0.0,0.0,0.0,0.0,0.0
bottas,56.156610140004595,37.76173128314658,119.93537312929968,0.0,125.72769223284203,0.0
gasly,0.0,0.0,0.0,0.0,0.0,70.69247845799725
hamilton,80.04757934709423,115.3926291079102,0.0,110.4292915447177,129.0938443930757,128.76009419118503
kevin_magnussen,0.0,0.0,0.0,0.0,0.0,0.0
latifi,0.0,0.0,0.0,0.0,0.0,0.0
leclerc,0.0,0.0,0.0,0.0,124.17443345144216,49.72657854696527
max_verstappen,23.039600150345716,96.03735884767032,145.1781461376129,204.93881220471948,51.60949506892975,148.51519563139308
mick_schumacher,0.0,0.0,0.0,0.0,0.0,0.0
norris,0.0,0.0,0.0,0.0,0.0,0.0
ocon,0.0,0.0,0.0,0.0,0.0,0.0
perez,23.768946956528787,24.548225046310957,0.0,0.0,40.95642863380475,127.06924078274263
ricciardo,46.23666718226758,93.63466177141188,0.0,0.0,39.82625338201043,0.0
russell,0.0,0.0,0.0,0.0,0.0,0.0
sainz,12.476006677863861,0.0,0.0,0.0,0.0,0.0
stroll,0.0,0.0,0.0,0.0,0.0,0.0
tsunoda,0.0,0.0,0.0,0.0,0.0,0.0
vettel,0.0,95.17171083074324,62.07001927884946,184.92979675986976,126.67263838738987,0.0
zhou,0.0,0.0,0.0,0.0,0.0,0.0
