Drivers,Season 2012,Season 2013,Season 2014,Season 2015,Season 2016,Season 2017,Season 2018,Season 2019,Season 2020,Season 2021
albon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06997675802311232,7.424795895911119,0.0
alonso,74.36744731059207,34.009806368254395,41.26596455552356,0.0,0.0,0.0,-0.6564214298714215,0.0,0.0,1.699176561216185
bottas,0.0,-3.9523877066134827,67.98849069754279,73.0677114266555,0.0,89.19626927763886,45.32738169338578,68.66708855025887,17.675718129095664,64.41417372377866
gasly,0.0,0.0,0.0,0.0,0.0,0.0,-3.4507543492482653,48.49251985323844,9.378408961124833,-4.048912568526217
hamilton,40.82164572323395,28.66999382028139,98.28571996765054,128.67186325360336,98.05197434134733,105.31102236978475,46.501134550045464,103.49825127059533,58.716844318342076,78.49574946231277
kevin_magnussen,0.0,0.0,33.09287016320972,0.0,0.0,0.0,-3.3028120913124948,0.0,0.0,0.0
latifi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.337460022925125,0.0
leclerc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.341211254261324,26.90437289595038,69.96993193425207
max_verstappen,0.0,0.0,0.0,0.0,91.32744417593057,50.79445436584637,0.0,47.11442905466754,48.36750224031302,0.0
mick_schumacher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
norris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.064703854868165,19.651339752228253,46.659348378045344
ocon,0.0,0.0,0.0,0.0,0.0,0.0,0.14035969782656454,0.0,14.341402983255122,0.6283940058120139
perez,0.0,0.0,0.0,0.0,24.762187829595252,0.0,-4.030278351644139,0.0,0.0,0.0
ricciardo,27.3201059041505,21.892214818903863,51.0361913710023,0.0,78.79281385377473,33.67808985719283,34.39151029995795,26.293523759171677,23.44263624349928,32.00211540763883
russell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.21478522098497,0.0
sainz,0.0,0.0,0.0,0.0,19.610921203825097,0.0,0.0,27.716129607991704,-9.741108245341263,34.25260812339967
stroll,0.0,0.0,0.0,0.0,0.0,0.0,-20.145882287254175,-4.380411136410072,3.096527809379228,3.0153288899885125
tsunoda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32475956184452304
vettel,73.28246547242881,0.0,44.663235986919126,101.71494275449601,21.980186888312392,14.234047252619504,57.24886373142716,0.0,-2.5138718139082115,0.0
zhou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
