,driver,score
0,hamilton,13343.54089852078
1,vettel,9666.495067879687
2,bottas,7099.5169792403485
3,max_verstappen,6865.340061190416
4,ricciardo,5396.145505749354
5,alonso,3029.6618862683176
6,perez,3009.413334632964
7,leclerc,2132.0731498421665
8,sainz,1633.7847817583272
9,norris,949.8737355918781
10,gasly,829.7649034383609
11,albon,596.6820470512571
12,ocon,581.1711068152539
13,stroll,306.14446077474435
14,kevin_magnussen,231.36200726558926
15,tsunoda,229.30888918092904
16,zhou,0.0
17,mick_schumacher,-39.102490295175
18,russell,-47.72532856157973
19,latifi,-75.36648071521026
